EVENT_ID,EVENT_DATE,ARTIST_ID,VENUE_ID,EVENT_STATUS_ID,EVENT_DETAILS
1,2025-01-19,209,178,20,"The Steampunk magic of Synthwave Collective is coming to Ethereal Pavilion, ready to captivate the audience with a breathtaking performance."
2,2025-05-28,244,103,20,"Feel the rhythm as Solaris Dreams takes the stage at Rift Pavilion, delivering a Pop experience that will leave you spellbound."
3,2024-09-29,212,118,20,"Get ready for an evening of Reggae excellence as Solar Flare performs live at Starlight Ballroom, where music and atmosphere collide."
4,2024-10-30,235,166,20,"Get ready for an evening of Indie excellence as Silver Lining performs live at Harmony Cove, where music and atmosphere collide."
5,2025-06-17,228,119,30,"Step into the world of Pop with Prismatic Wave at Mystic Springs Theater, where their musical prowess will take center stage."
6,2024-09-21,219,116,50,"The Steampunk magic of Shadow Synapse is coming to Celestial Stage, ready to captivate the audience with a breathtaking performance."
7,2025-06-02,217,178,10,"The Steampunk magic of Quantum Drift is coming to Ethereal Pavilion, ready to captivate the audience with a breathtaking performance."
8,2025-05-19,205,112,30,"The Rap magic of Urban Flow is coming to Glimmer Amphitheater, ready to captivate the audience with a breathtaking performance."
9,2024-10-18,231,115,40,"Vortex Mirage is set to electrify the stage at Celestial Shores Amphitheater with their signature Steampunk sound, promising a night of unforgettable music."
10,2024-12-24,201,190,10,"Step into the world of Jazz with Jazz Quintet at Harmonic Haven, where their musical prowess will take center stage."
11,2025-02-24,244,144,30,"Step into the world of Pop with Solaris Dreams at Elysium Stage, where their musical prowess will take center stage."
12,2024-10-01,239,126,10,"Step into the world of Steampunk with Crimson Velvet at Elysium Stage, where their musical prowess will take center stage."
13,2025-05-22,218,162,20,"Experience the powerful Indie vibes of Elysian Fields live at Solar Flare Arena, where the energy will be off the charts."
14,2024-11-22,205,109,40,"Join us at Sonic Waves Theater for an evening of pure Rap bliss with Urban Flow, delivering a performance you won't want to miss."
15,2024-12-22,204,150,40,"Don't miss Clockwork Ensemble bringing their unique Steampunk style to Aurora Point, in what is sure to be a spectacular show."
16,2025-03-06,228,187,40,"The Pop magic of Prismatic Wave is coming to Solstice Pavilion, ready to captivate the audience with a breathtaking performance."
17,2024-12-15,227,142,30,"Join us at Galactic Theater for an evening of pure Metal bliss with Nova Symphony, delivering a performance you won't want to miss."
18,2024-10-14,243,138,20,"Feel the rhythm as Fireside Muse takes the stage at Blue Moon Stage, delivering a Indie experience that will leave you spellbound."
19,2025-03-30,209,114,20,"The legendary Synthwave Collective will be performing at Zephyr Lounge, bringing their renowned Steampunk sound to life in an epic concert."
20,2025-06-17,242,158,20,"At Velocity Hall, Lunar Echo will take you on a Indie journey like no other, blending innovation with raw talent."
21,2024-10-07,225,161,40,"Don't miss Frostbite bringing their unique Metal style to Vortex Plaza, in what is sure to be a spectacular show."
22,2025-03-09,247,162,10,"Join us at Solar Flare Arena for an evening of pure Pop bliss with Radiant Echo, delivering a performance you won't want to miss."
